,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Top 50 - USA_8,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,260253,86,False,0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
Top 50 - USA_9,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,Luke Combs,Love You Anyway,229626,70,False,0.532,0.489,4,-7.419,1,0.0311,0.149,0,0.237,0.32,139.807,4
Top 50 - USA_10,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,167303,88,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
Top 50 - USA_11,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,232066,82,True,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4
Top 50 - USA_12,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,209259,87,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
Top 50 - USA_13,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,195373,90,False,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
Top 50 - USA_14,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,200690,91,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
Top 50 - USA_15,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Sam Smith,Unholy (feat. Kim Petras),156943,81,False,0.712,0.463,2,-7.399,1,0.0797,0.011,2.96e-06,0.301,0.206,131.199,4
Top 50 - USA_16,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,132630,89,False,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
Top 50 - USA_17,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,201800,87,True,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
Top 50 - USA_18,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,228013,85,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
Top 50 - USA_19,spotify:track:2yPoXCs7BSIUrucMdK5PzV,Rihanna,Umbrella,275986,66,False,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,4
Top 50 - USA_20,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,139560,85,True,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,4
Top 50 - USA_21,spotify:track:2GAhgAjOhEmItWLfgisyOn,SZA,Low,181080,86,True,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,4
Top 50 - USA_22,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945,96,False,0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
Top 50 - USA_23,spotify:track:5mHdCZtVyb4DcJw8799hZp,RAYE,Escapism.,272373,69,True,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4
Top 50 - USA_24,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,242484,91,False,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4
Top 50 - USA_25,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,292799,85,True,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
Top 50 - USA_26,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,Fuerza Regida,Bebe Dame,271861,78,False,0.529,0.602,7,-4.629,1,0.0458,0.299,0,0.0716,0.756,157.643,4
Top 50 - USA_27,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,The Kid LAROI,Love Again,146640,85,False,0.662,0.398,11,-6.691,0,0.0275,0.716,0,0.111,0.468,107.001,4
Top 50 - USA_28,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,212253,89,False,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4
Top 50 - USA_29,spotify:track:373gDROnujxNTFa1FojYIl,Linkin Park,Lost,199342,74,False,0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,4
Top 50 - USA_30,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,Morgan Wallen,You Proof,157477,81,False,0.731,0.85,9,-4.913,1,0.0336,0.252,0,0.605,0.644,119.706,4
Top 50 - USA_31,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,243716,89,False,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
Top 50 - USA_32,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta,I'm Good (Blue),175238,93,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
Top 50 - USA_33,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake,Jimmy Cooks (feat. 21 Savage),218364,85,True,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4
Top 50 - USA_34,spotify:track:4686eQ81DEswHa90bcdlC9,Bailey Zimmerman,Rock and A Hard Place,207540,80,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,3
Top 50 - USA_35,spotify:track:3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,Wasted On You,178520,79,False,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3
Top 50 - USA_36,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,202395,85,True,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,4
Top 50 - USA_37,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,148485,90,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
Top 50 - USA_38,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,240400,88,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
Top 50 - USA_39,spotify:track:2wSTnntOPRi7aQneobFtU4,SZA,Shirt,181840,82,True,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,4
Top 50 - USA_40,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,225388,88,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4
Top 50 - USA_41,spotify:track:4pAl7FkDMNBsjykPXo91B3,Rihanna,Needed Me,191600,78,True,0.671,0.314,5,-8.091,0,0.244,0.11,0,0.0825,0.296,110.898,4
Top 50 - USA_42,spotify:track:1lRtH4FszTrwwlK5gTSbXO,Natanael Cano,AMG,174942,87,True,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,3
Top 50 - USA_43,spotify:track:3cJjqvXbFwiWgnuWgoyhPM,Steve Lacy,Dark Red,173104,76,False,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,4
Top 50 - USA_44,spotify:track:3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,226466,85,False,0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,4
Top 50 - USA_45,spotify:track:5oO3drDxtziYU2H1X23ZIp,Rihanna,Love On The Brain,224000,81,True,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,3
Top 50 - USA_46,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny,Me Porto Bonito,178567,89,True,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4
Top 50 - USA_47,spotify:track:76FeKAU0A4dpFGrVSg2TX2,Morgan Wallen,I Wrote The Book,181766,75,False,0.682,0.805,2,-3.739,1,0.0403,0.0888,5.34e-05,0.0776,0.826,143.978,4
Top 50 - USA_48,spotify:track:6Um358vY92UBv5DloTRX9L,Carin Leon,Que Vuelvas,169418,87,False,0.491,0.643,10,-4.309,1,0.0442,0.187,0,0.109,0.779,162.469,4
Top 50 - USA_49,spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn,Rihanna,Don't Stop The Music,267080,64,False,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,4
Top 50 - Global_0,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,200454,100,False,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4
Top 50 - Global_1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,153946,91,False,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
Top 50 - Global_2,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945,96,False,0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
Top 50 - Global_3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,167303,88,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
Top 50 - Global_4,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress,Boy's a liar Pt. 2,131013,82,False,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
Top 50 - Global_5,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Sam Smith,Unholy (feat. Kim Petras),156943,81,False,0.712,0.463,2,-7.399,1,0.0797,0.011,2.96e-06,0.301,0.206,131.199,4
Top 50 - Global_6,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520,93,True,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
Top 50 - Global_7,spotify:track:4FAKtPVycI4DxoOHC01YqD,Yandel,Yandel 150,216148,81,True,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
Top 50 - Global_8,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,162637,92,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
Top 50 - Global_9,spotify:track:5mHdCZtVyb4DcJw8799hZp,RAYE,Escapism.,272373,69,True,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4
Top 50 - Global_10,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,212253,89,False,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4
Top 50 - Global_11,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta,I'm Good (Blue),175238,93,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
Top 50 - Global_12,spotify:track:0WtM2NBVQNNJLh6scP13H8,Rema,Calm Down (with Selena Gomez),239317,91,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
Top 50 - Global_13,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,200690,91,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
Top 50 - Global_14,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,242484,91,False,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4
Top 50 - Global_15,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,260253,86,False,0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
Top 50 - Global_16,spotify:track:2mnXxnrX5vCGolNkaFvVeM,Arcángel,La Jumpa,255693,85,True,0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,4
Top 50 - Global_17,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Leo Santana,Zona De Perigo,142151,81,False,0.805,0.767,5,-5.612,1,0.0349,0.748,1.66e-05,0.35,0.97,135.06,4
Top 50 - Global_18,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,Peso Pluma,PRC,184066,84,True,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,3
Top 50 - Global_19,spotify:track:1lRtH4FszTrwwlK5gTSbXO,Natanael Cano,AMG,174942,87,True,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,3
Top 50 - Global_20,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,209259,87,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
Top 50 - Global_21,spotify:track:1zsPaEkglFvxjAhrM8yhpr,Ozuna,Hey Mor,196600,88,False,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
Top 50 - Global_22,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,91,False,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
Top 50 - Global_23,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,185506,89,False,0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
Top 50 - Global_24,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,148485,90,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
Top 50 - Global_25,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,195373,90,False,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
Top 50 - Global_26,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,244360,60,True,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4
Top 50 - Global_27,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,139560,85,True,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,4
Top 50 - Global_28,spotify:track:0mHC3BK9vFGoEU0EcGPWRZ,Lazza,CENERE,208323,53,False,0.652,0.628,2,-6.529,0,0.107,0.305,0,0.221,0.317,119.856,4
Top 50 - Global_29,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,183956,89,False,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
Top 50 - Global_30,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,Fuerza Regida,Bebe Dame,271861,78,False,0.529,0.602,7,-4.629,1,0.0458,0.299,0,0.0716,0.756,157.643,4
Top 50 - Global_31,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,123890,88,True,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4
Top 50 - Global_32,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,201800,87,True,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
Top 50 - Global_33,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,176440,89,False,0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
Top 50 - Global_34,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny,Me Porto Bonito,178567,89,True,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4
Top 50 - Global_35,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,134256,89,False,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,4
Top 50 - Global_36,spotify:track:373gDROnujxNTFa1FojYIl,Linkin Park,Lost,199342,74,False,0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,4
Top 50 - Global_37,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,165264,82,False,0.772,0.75,5,-3.67,0,0.0455,0.0201,0,0.074,0.587,114.061,4
Top 50 - Global_38,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Marília Mendonça,Leão,166774,86,False,0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,4
Top 50 - Global_39,spotify:track:7MXVkk9YMctZqd1Srtv4MB,The Weeknd,Starboy,230453,88,True,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4
Top 50 - Global_40,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,250760,88,True,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
Top 50 - Global_41,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake,Rich Flex,239359,90,True,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
Top 50 - Global_42,spotify:track:6Um358vY92UBv5DloTRX9L,Carin Leon,Que Vuelvas,169418,87,False,0.491,0.643,10,-4.309,1,0.0442,0.187,0,0.109,0.779,162.469,4
Top 50 - Global_43,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,155960,84,False,0.865,0.573,5,-5.501,1,0.0678,0.0863,0,0.305,0.563,94.999,4
Top 50 - Global_44,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,163854,82,True,0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,4
Top 50 - Global_45,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,132630,89,False,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
Top 50 - Global_46,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,225388,88,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4
Top 50 - Global_47,spotify:track:4WiQA1AGWHFvaxBU6bHghs,Quevedo,PUNTO G,151324,79,False,0.751,0.761,11,-4.113,0,0.15,0.251,0.000238,0.0991,0.553,92.032,4
Top 50 - Global_48,spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk,KAROL G,X SI VOLVEMOS,203360,82,True,0.793,0.78,1,-4.247,0,0.249,0.341,0,0.111,0.576,178.046,4
Top 50 - Global_49,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,243716,89,False,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
Viral 50 - Global_0,spotify:track:14LdhxElpZS0rKVV4nxtdA,Alessandra,Queen of Kings,147979,74,False,0.563,0.908,4,-4.25,0,0.0868,0.0696,0,0.328,0.171,125.972,4
Viral 50 - Global_1,spotify:track:4VsP4Dm8gsibRxB5I2hEkw,Kaifi Khalil,Kahani Suno 2.0,173637,78,False,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585,3
Viral 50 - Global_2,spotify:track:1nJOtOQJqzHaxh8kzuudxR,SXCREDMANE,Attack of the Killer Beast (Phonk),136110,53,True,0.499,0.839,4,-3.104,1,0.0749,4.83e-05,0.674,0.342,0.785,146.147,4
Viral 50 - Global_3,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,184791,84,False,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,5
Viral 50 - Global_4,spotify:track:761tGJAC4E2weJMJtNnl2B,Sleep Token,The Summoning,395716,72,False,0.391,0.711,10,-5.39,0,0.0403,0.00157,0.0042,0.0576,0.149,172.958,4
Viral 50 - Global_5,spotify:track:24MMjyA3NLqCsDJfsn51eg,Sharn,Mi Amor,203048,68,False,0.637,0.703,4,-5.297,0,0.0789,0.53,4.23e-06,0.11,0.553,81.99,4
Viral 50 - Global_6,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Leo Santana,Zona De Perigo,142151,81,False,0.805,0.767,5,-5.612,1,0.0349,0.748,1.66e-05,0.35,0.97,135.06,4
Viral 50 - Global_7,spotify:track:1DxEbt6OSbrkRthk6pjZue,LiL CaKe,MERCHO,161451,80,False,0.838,0.79,6,-1.602,0,0.108,0.431,3.33e-06,0.184,0.962,92.927,4
Viral 50 - Global_8,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,200454,100,False,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4
Viral 50 - Global_9,spotify:track:0pfP5XgWsu3uDB6NygGBEq,Creeds,Push Up - Original Mix,240000,74,False,0.713,0.93,7,-6.567,1,0.0783,0.053,0.858,0.0669,0.594,160.046,4
Viral 50 - Global_10,spotify:track:0uZFcsx96wzbixsULmrg8o,SunKissed Lola,Pasilyo,270250,76,False,0.71,0.61,2,-4.674,1,0.0351,0.415,2.67e-05,0.181,0.404,120.032,3
Viral 50 - Global_11,spotify:track:22quZFeltYbo325rn3ktTe,Young Marco,What You Say?,203688,66,False,0.693,0.791,6,-7.902,0,0.0508,0.0284,0.00111,0.117,0.293,136.02,4
Viral 50 - Global_12,spotify:track:5smr3wYPodiv8ogWy0DE6J,Treyce,Lovezinho,166875,58,True,0.824,0.587,4,-2.264,0,0.0392,0.295,3.19e-06,0.121,0.605,127.98,4
Viral 50 - Global_13,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,212253,89,False,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4
Viral 50 - Global_14,spotify:track:0epYQ0yLA5RUYyrhADkF0j,Diego Gonzalez,You & I,151835,71,False,0.565,0.311,4,-10.234,1,0.043,0.907,0,0.107,0.393,166.207,3
Viral 50 - Global_15,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,139560,85,True,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,4
Viral 50 - Global_16,spotify:track:20CozgjF6bshBw8cLhN23B,Vicco,Nochentera,202184,66,False,0.802,0.728,8,-6.456,0,0.0533,0.0233,0,0.119,0.782,121.92,4
Viral 50 - Global_17,spotify:track:3N2WeXxSjngB1DSi8vrI8C,Aruma,Muak,264939,75,False,0.265,0.32,2,-10.791,1,0.0316,0.774,0.000146,0.312,0.185,82.973,4
Viral 50 - Global_18,spotify:track:3WCrBnWabeuTk2wr6UwaYV,BLOK3,AFFETMEM,182117,75,True,0.646,0.685,3,-11.027,0,0.0762,0.586,1.78e-06,0.105,0.539,142.115,4
Viral 50 - Global_19,spotify:track:1KEv0es8xWsrPU7VSFiZym,Lumi Athena,SMOKE IT OFF!,120000,67,True,0.378,0.824,8,-6.482,1,0.159,0.000119,0,0.359,0.495,148.161,4
Viral 50 - Global_20,spotify:track:1AuxZd50Dpaz0cCWphYryh,iluna,panaginip,332406,66,False,0.379,0.354,5,-12.412,0,0.037,0.194,6.46e-05,0.0552,0.126,129.299,4
Viral 50 - Global_21,spotify:track:4yYi79a3MEQ0pCRCvuxcuU,Bonnie Raitt,Just Like That,305160,57,False,0.468,0.322,2,-10.028,1,0.0343,0.8,0.00164,0.098,0.256,80.694,4
Viral 50 - Global_22,spotify:track:5Yt3AV2nXQdPqdknyLtJk0,MC Pipokinha,Bota na Pipokinha (feat. DJ FELYPINHO 013),193985,68,True,0.949,0.866,11,-11.127,0,0.377,0.302,0.0156,0.425,0.139,129.996,4
Viral 50 - Global_23,spotify:track:6FrihRowEuYfNehH0zcx0e,DG IMMORTALS,KALESHI CHORI,211000,64,True,0.888,0.717,0,-3.088,1,0.214,0.0421,6.19e-05,0.0986,0.839,90.99,4
Viral 50 - Global_24,spotify:track:26cvTWJq2E1QqN4jyH2OTU,Anggi Marito,Tak Segampang Itu,231100,72,False,0.506,0.438,5,-7.069,1,0.0268,0.759,8.64e-06,0.109,0.178,129.538,4
Viral 50 - Global_25,spotify:track:7BUHKcrvmr9WIAgEBkwukl,เรนิษรา,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว) - Sad flower,270033,69,False,0.579,0.341,7,-10.106,1,0.0272,0.521,0.103,0.147,0.375,90.061,4
Viral 50 - Global_26,spotify:track:79uXvsyNG97zMLLq4bloRa,CIL,One More Shot,141184,57,True,0.765,0.435,8,-6.224,1,0.0381,0.715,0,0.0784,0.562,109.969,3
Viral 50 - Global_27,spotify:track:4CdW5KKyIjrpx6Hz981dUt,CHRRISSA,เลือดกรุ๊ปบี,289756,68,False,0.545,0.732,2,-3.758,1,0.0613,0.756,0,0.0706,0.263,163.971,4
Viral 50 - Global_28,spotify:track:2GWzRdezjEFyYrwldE7iCl,Noh Salleh,Angin Kencang,237243,68,False,0.462,0.751,9,-5.043,1,0.0305,0.312,0.00316,0.103,0.499,87.992,4
Viral 50 - Global_29,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,Oscar Maydon,Fin de Semana,224920,85,False,0.699,0.541,0,-4.943,1,0.0826,0.0628,0,0.0916,0.365,98.395,4
Viral 50 - Global_30,spotify:track:3RKjTYlQrtLXCq5ncswBPp,Baby Tate,"Hey, Mickey!",115555,81,False,0.912,0.507,2,-11.952,1,0.0587,0.579,0,0.167,0.725,134.978,4
Viral 50 - Global_31,spotify:track:2nKwKOpdXnHuJgC5iItUxN,Pritt,Unakkul Naane,127850,70,False,0.604,0.533,0,-9.53,0,0.0562,0.67,0.000727,0.14,0.334,107.006,4
Viral 50 - Global_32,spotify:track:2lWc1iJlz2NVcStV5fbtPG,BUNT.,Clouds,158760,59,False,0.7,0.748,9,-8.16,0,0.0771,0.226,0.796,0.104,0.154,130.056,4
Viral 50 - Global_33,spotify:track:0m1L7kXouYgNJYtlJnncCl,Wonder Girls,Tell me (Sampling From `Two Of Hearts`),217000,59,False,0.792,0.924,6,-6.866,0,0.0327,0.104,0.000224,0.336,0.968,127.003,4
Viral 50 - Global_34,spotify:track:0yq2vtAiZfTYZlP2EFCJDt,Gringuitos Records,Te Extraño a Lo Vio,349035,66,False,0.555,0.807,10,-4.441,0,0.0947,0.0172,0,0.246,0.202,93.853,4
Viral 50 - Global_35,spotify:track:1zhpW0PLYAhzF3X49GaAOX,Sachin-Jigar,Apna Bana Le,261702,72,False,0.586,0.562,9,-7.399,1,0.0267,0.803,5.52e-06,0.063,0.436,93.982,4
Viral 50 - Global_36,spotify:track:61AZsmFB3VoJdmraMk5ZSn,TAEYANG,VIBE (feat. Jimin of BTS),175775,81,False,0.78,0.683,0,-5.319,1,0.0575,0.0801,0,0.22,0.608,100.049,4
